-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,⇣,⇣,-,-,-,-,-,-,-
-,→,→,→,→,→,→,⇢,+,+,→,→,→,→,→,→,→,→,→,→,→,⇢,+,+,→,→,→,→,→,→,-
-,→,→,→,→,→,→,⇢,+,+,→,→,→,→,→,→,→,→,→,→,→,⇢,+,+,→,→,→,→,→,→,-
-,-,-,-,-,-,-,-,⇡,⇡,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,⇣,⇣,-,-,-,-,-,-,-
-,-,←,←,←,←,←,←,+,+,⇠,←,←,←,←,←,←,←,←,←,←,←,+,+,⇠,←,←,←,←,←,-
-,-,←,←,←,←,←,←,+,+,⇠,←,←,←,←,←,←,←,←,←,←,←,+,+,⇠,←,←,←,←,←,-
-,-,-,-,-,-,-,-,⇡,⇡,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
