-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,←,←,←,←,←,←,←,←,←,↓,↓,↑,↑,←,←,←,←,←,←,←,←,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,↓,←,←,←,←,←,←,←,←,←,←,←,←,←,←,←,←,←,←,←,←,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↑,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,↓,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,↑,-
-,-,-,-,-,-,-,-,-,-,-,-,↓,→,→,→,→,→,→,→,→,↓,↓,↑,→,→,→,→,→,→,→,→,→,→,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,←,←,←,←,←,←,←,←,←,←,←,←,←,←,←,←,←,←,←,←,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,↓,←,←,←,←,←,←,←,←,←,←,←,←,←,←,←,←,←,←,←,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,↓,↓,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,↓,↓,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,↓,↓,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,↓,↓,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,↓,↓,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,↓,↓,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,↓,↓,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-
-,↓,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,↑,-,-,-,-,-,-,-,-,-,-
-,↓,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,→,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
