-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,+,+,+,+,⇠,←,←,←,←,←,←,←,←,←,←,←,←,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,+,+,+,+,⇠,←,←,←,←,←,←,←,←,←,←,←,←,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,+,+,+,+,→,→,→,→,→,→,→,→,→,→,→,→,⇢,+,+,+,+,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
-,+,+,+,+,→,→,→,→,→,→,→,→,→,→,→,→,⇢,+,+,+,+,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
-,↓,↓,⇡,⇡,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,⇡,⇡,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,-,-,-,-,-
-,↓,↓,↑,↑,-,-,-,-,+,+,+,+,⇠,←,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,⇠,←,←,←,←,←,←,←,-
-,↓,↓,↑,↑,-,-,-,-,+,+,+,+,⇠,←,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,⇠,←,←,←,←,←,←,←,-
-,↓,↓,↑,↑,-,-,-,-,+,+,+,+,→,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,→,→,→,→,→,→,→,→,-
-,↓,↓,↑,↑,-,-,-,-,+,+,+,+,→,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,→,→,→,→,→,→,→,→,-
-,↓,↓,↑,↑,-,-,-,-,↓,↓,⇡,⇡,-,-,-,-,-,↓,↓,⇡,⇡,-,-,-,-,-,↓,↓,⇡,⇡,-,-,-,-,-,-,-,-,-
-,↓,↓,↑,↑,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
